frame number,image_height,image_width,publisher_sent,subscriber_received,frequency,latency,packets_receieved_count,transport
35,1920,1080,1704128272016373156,1704128272162947521,5,146574365,1,1
59,1920,1080,1704128279732002006,1704128279862628681,5,130626675,2,1
64,1920,1080,1704128281416258890,1704128281539388085,5,123129195,3,1
107,1920,1080,1704128295027050584,1704128295156945204,5,129894620,4,1
172,1920,1080,1704128316224448613,1704128316364779220,5,140330607,5,1
186,1920,1080,1704128320949779610,1704128321090755589,5,140975979,6,1
210,1920,1080,1704128328465328159,1704128328589001698,5,123673539,7,1
214,1920,1080,1704128329895235516,1704128330017239615,5,122004099,8,1
265,1920,1080,1704128346455885136,1704128346586379434,5,130494298,9,1
273,1920,1080,1704128349221810008,1704128349351653930,5,129843922,10,1
274,1920,1080,1704128349591164491,1704128349733229857,5,142065366,11,1
290,1920,1080,1704128355057637319,1704128355187665916,5,130028597,12,1
295,1920,1080,1704128356749137488,1704128356874068094,5,124930606,13,1
326,1920,1080,1704128364339443758,1704128364466222478,10,126778720,14,1
329,1920,1080,1704128365123468895,1704128365265836605,10,142367710,15,1
345,1920,1080,1704128368619519278,1704128368755750930,10,136231652,16,1
374,1920,1080,1704128375153033798,1704128375284181124,10,131147326,17,1
393,1920,1080,1704128379472131961,1704128379608246266,10,136114305,18,1
406,1920,1080,1704128382596447241,1704128382724024004,10,127576763,19,1
481,1920,1080,1704128399522819857,1704128399656642342,10,133822485,20,1
488,1920,1080,1704128401351674133,1704128401477224426,10,125550293,21,1
506,1920,1080,1704128405490914837,1704128405620466382,10,129551545,22,1
508,1920,1080,1704128405968915466,1704128406111380161,10,142464695,23,1
511,1920,1080,1704128406661913385,1704128406791797617,10,129884232,24,1
545,1920,1080,1704128414579712072,1704128414696159783,10,116447711,25,1
546,1920,1080,1704128414840461591,1704128414969624440,10,129162849,26,1
547,1920,1080,1704128415117618481,1704128415239416530,10,121798049,27,1
587,1920,1080,1704128424111474415,1704128424246655307,10,135180892,28,1
592,1920,1080,1704128425277622917,1704128425416251360,10,138628443,29,1
596,1920,1080,1704128426295306348,1704128426418009450,10,122703102,30,1
606,1920,1080,1704128428707439386,1704128428829969809,15,122530423,31,1
649,1920,1080,1704128436903085418,1704128437039717397,15,136631979,32,1
661,1920,1080,1704128439222678518,1704128439359455838,15,136777320,33,1
675,1920,1080,1704128442147501555,1704128442272860819,15,125359264,34,1
684,1920,1080,1704128443898109294,1704128444020407696,15,122298402,35,1
685,1920,1080,1704128444129618271,1704128444250713930,15,121095659,36,1
717,1920,1080,1704128450506130878,1704128450632160847,15,126029969,37,1
751,1920,1080,1704128457089302757,1704128457220603057,15,131300300,38,1
768,1920,1080,1704128460276039853,1704128460400322708,15,124282855,39,1
770,1920,1080,1704128460731822327,1704128460870882449,15,139060122,40,1
773,1920,1080,1704128461379934955,1704128461519096750,15,139161795,41,1
801,1920,1080,1704128466887981354,1704128467023387577,15,135406223,42,1
803,1920,1080,1704128467305250052,1704128467438396464,15,133146412,43,1
814,1920,1080,1704128469561747616,1704128469691182127,15,129434511,44,1
818,1920,1080,1704128470431712242,1704128470563879592,15,132167350,45,1
819,1920,1080,1704128470672189768,1704128470812718645,15,140528877,46,1
822,1920,1080,1704128471323518580,1704128471459391496,15,135872916,47,1
823,1920,1080,1704128471572531310,1704128471704780998,15,132249688,48,1
852,1920,1080,1704128477432964796,1704128477570744164,15,137779368,49,1
887,1920,1080,1704128484473501020,1704128484604124600,15,130623580,50,1
960,1920,1080,1704128498690698294,1704128498819421415,20,128723121,51,1
989,1920,1080,1704128504079786260,1704128504208947074,20,129160814,52,1
1009,1920,1080,1704128507726573269,1704128507845827456,20,119254187,53,1
1041,1920,1080,1704128513333782186,1704128513466110530,20,132328344,54,1
1043,1920,1080,1704128513755221425,1704128513883986210,20,128764785,55,1
1053,1920,1080,1704128515673486700,1704128515810235321,20,136748621,56,1
1060,1920,1080,1704128516944952190,1704128517070591111,20,125638921,57,1
1061,1920,1080,1704128517162210220,1704128517295263607,20,133053387,58,1
1085,1920,1080,1704128521670631740,1704128521791974388,20,121342648,59,1
1106,1920,1080,1704128525758168016,1704128525896865089,20,138697073,60,1
1170,1920,1080,1704128537238914663,1704128537371868038,20,132953375,61,1
1183,1920,1080,1704128539757146606,1704128539895700665,20,138554059,62,1
1214,1920,1080,1704128545295057682,1704128545428991449,25,133933767,63,1
1217,1920,1080,1704128545869107494,1704128546003966986,25,134859492,64,1
1245,1920,1080,1704128550786586427,1704128550911900649,25,125314222,65,1
1247,1920,1080,1704128551195213151,1704128551325082993,25,129869842,66,1
1248,1920,1080,1704128551402071839,1704128551521845046,25,119773207,67,1
1295,1920,1080,1704128559853706456,1704128559989447998,25,135741542,68,1
1310,1920,1080,1704128562261384963,1704128562394218988,25,132834025,69,1
1317,1920,1080,1704128563655747033,1704128563807242232,25,151495199,70,1
1319,1920,1080,1704128564096038403,1704128564235626519,25,139588116,71,1
1326,1920,1080,1704128565522617159,1704128565659411099,25,136793940,72,1
1332,1920,1080,1704128566700055237,1704128566843278581,25,143223344,73,1
1334,1920,1080,1704128567132917469,1704128567283380268,25,150462799,74,1
1363,1920,1080,1704128572666162538,1704128572787964866,25,121802328,75,1
1370,1920,1080,1704128574058415106,1704128574224269204,25,165854098,76,1
1391,1920,1080,1704128577898661954,1704128578053584363,25,154922409,77,1
1419,1920,1080,1704128582981428555,1704128583112750145,25,131321590,78,1
1431,1920,1080,1704128585326206973,1704128585471743789,25,145536816,79,1
1446,1920,1080,1704128587853185164,1704128587995851799,25,142666635,80,1
1459,1920,1080,1704128590217451780,1704128590349740428,25,132288648,81,1
1470,1920,1080,1704128592238206459,1704128592382090502,25,143884043,82,1
1506,1920,1080,1704128598064385604,1704128598204513076,30,140127472,83,1
1522,1920,1080,1704128601139724174,1704128601272330839,30,132606665,84,1
1544,1920,1080,1704128604891691231,1704128605024146552,30,132455321,85,1
1545,1920,1080,1704128605100331671,1704128605231588250,30,131256579,86,1
1553,1920,1080,1704128606578804549,1704128606711769235,30,132964686,87,1
1583,1920,1080,1704128611777195406,1704128611913364625,30,136169219,88,1
1610,1920,1080,1704128616328099210,1704128616467078604,30,138979394,89,1
1636,1920,1080,1704128620720040654,1704128620850486844,30,130446190,90,1
1638,1920,1080,1704128621129247013,1704128621256316658,30,127069645,91,1
1644,1920,1080,1704128622276664386,1704128622407609941,30,130945555,92,1
1652,1920,1080,1704128623921062624,1704128624041786870,30,120724246,93,1
1655,1920,1080,1704128624529313476,1704128624666898446,30,137584970,94,1
1699,1920,1080,1704128631774459256,1704128631902966988,30,128507732,95,1
1700,1920,1080,1704128631983715723,1704128632114995629,30,131279906,96,1
1702,1920,1080,1704128632388998159,1704128632515813785,30,126815626,97,1
1727,1920,1080,1704128636677911983,1704128636809517241,30,131605258,98,1
1742,1920,1080,1704128639214631826,1704128639348217875,30,133586049,99,1
1757,1920,1080,1704128642022965031,1704128642155124989,30,132159958,100,1
1771,1920,1080,1704128644532874164,1704128644663337015,30,130462851,101,1
1818,1920,1080,1704128652448881710,1704128652577160422,35,128278712,102,1
1824,1920,1080,1704128653489750990,1704128653626140544,35,136389554,103,1
1831,1920,1080,1704128654769416911,1704128654904157695,35,134740784,104,1
1843,1920,1080,1704128656861037080,1704128656996852264,35,135815184,105,1
1847,1920,1080,1704128657638226817,1704128657770997142,35,132770325,106,1
1861,1920,1080,1704128660005453921,1704128660134704025,35,129250104,107,1
1872,1920,1080,1704128661842607112,1704128661971921887,35,129314775,108,1
1877,1920,1080,1704128662708425731,1704128662845312647,35,136886916,109,1
1878,1920,1080,1704128662910891092,1704128663045370523,35,134479431,110,1
1879,1920,1080,1704128663112895090,1704128663249156633,35,136261543,111,1
1895,1920,1080,1704128665748260978,1704128665887241358,35,138980380,112,1
1911,1920,1080,1704128668490362543,1704128668623460553,35,133098010,113,1
1921,1920,1080,1704128670239688864,1704128670382902174,35,143213310,114,1
1947,1920,1080,1704128675044172996,1704128675185369845,35,141196849,115,1
1957,1920,1080,1704128676679189464,1704128676819175904,35,139986440,116,1
1961,1920,1080,1704128677489217561,1704128677624198686,35,134981125,117,1
1964,1920,1080,1704128678076111006,1704128678202728941,35,126617935,118,1
1965,1920,1080,1704128678271964280,1704128678409676576,35,137712296,119,1
1966,1920,1080,1704128678479380611,1704128678615012444,35,135631833,120,1
1974,1920,1080,1704128680048077912,1704128680176842647,35,128764735,121,1
2012,1920,1080,1704128686648368461,1704128686783071900,35,134703439,122,1
2013,1920,1080,1704128686860002720,1704128687004213421,35,144210701,123,1
2014,1920,1080,1704128687081611936,1704128687214871618,35,133259682,124,1
2034,1920,1080,1704128690484328101,1704128690618209821,35,133881720,125,1
2044,1920,1080,1704128692052250651,1704128692186734408,35,134483757,126,1
2057,1920,1080,1704128694391780525,1704128694514972241,35,123191716,127,1
2061,1920,1080,1704128695109629487,1704128695241988110,35,132358623,128,1
2067,1920,1080,1704128696114939118,1704128696248258468,35,133319350,129,1
2071,1920,1080,1704128696866051494,1704128696999000154,35,132948660,130,1
2119,1920,1080,1704128704490153603,1704128704625529413,40,135375810,131,1
2140,1920,1080,1704128708107471758,1704128708237722579,40,130250821,132,1
2178,1920,1080,1704128714485262692,1704128714620004126,40,134741434,133,1
2184,1920,1080,1704128715521850578,1704128715668629099,40,146778521,134,1
2189,1920,1080,1704128716324873843,1704128716460304987,40,135431144,135,1
2190,1920,1080,1704128716528954617,1704128716660017487,40,131062870,136,1
2192,1920,1080,1704128716918813019,1704128717057078341,40,138265322,137,1
2199,1920,1080,1704128718227977295,1704128718359003496,40,131026201,138,1
2212,1920,1080,1704128720361607168,1704128720494680163,40,133072995,139,1
2221,1920,1080,1704128721791753007,1704128721932380808,40,140627801,140,1
2222,1920,1080,1704128722002935557,1704128722143245338,40,140309781,141,1
2237,1920,1080,1704128724461154728,1704128724593795695,40,132640967,142,1
2239,1920,1080,1704128724844321039,1704128724966429347,40,122108308,143,1
2248,1920,1080,1704128726450400542,1704128726569911020,40,119510478,144,1
2253,1920,1080,1704128727315725022,1704128727462403867,40,146678845,145,1
2257,1920,1080,1704128728045328676,1704128728183607995,40,138279319,146,1
2270,1920,1080,1704128730385920460,1704128730517928386,40,132007926,147,1
2274,1920,1080,1704128731109770416,1704128731239019503,40,129249087,148,1
2295,1920,1080,1704128734806965726,1704128734938454952,40,131489226,149,1
2301,1920,1080,1704128735949908227,1704128736073366284,40,123458057,150,1
2306,1920,1080,1704128736720445097,1704128736852956053,40,132510956,151,1
2341,1920,1080,1704128741910131723,1704128742038785104,40,128653381,152,1
2377,1920,1080,1704128747652989230,1704128747783717072,40,130727842,153,1
2406,1920,1080,1704128752126919002,1704128752268436851,40,141517849,154,1
2409,1920,1080,1704128752655656064,1704128752786666589,45,131010525,155,1
2413,1920,1080,1704128753249723210,1704128753386170075,45,136446865,156,1
2433,1920,1080,1704128756548021771,1704128756685916725,45,137894954,157,1
2438,1920,1080,1704128757350993640,1704128757485693395,45,134699755,158,1
2451,1920,1080,1704128759534292139,1704128759663506217,45,129214078,159,1
2452,1920,1080,1704128759727308206,1704128759861660938,45,134352732,160,1
2479,1920,1080,1704128763918080852,1704128764048878362,45,130797510,161,1
2485,1920,1080,1704128764982610729,1704128765115412363,45,132801634,162,1
2504,1920,1080,1704128768122931016,1704128768259872909,45,136941893,163,1
2511,1920,1080,1704128769400118843,1704128769537353754,45,137234911,164,1
2520,1920,1080,1704128770948294270,1704128771083618394,45,135324124,165,1
2542,1920,1080,1704128774738462471,1704128774872426509,45,133964038,166,1
2544,1920,1080,1704128775114345627,1704128775241998604,45,127652977,167,1
2547,1920,1080,1704128775639062417,1704128775776335662,45,137273245,168,1
2552,1920,1080,1704128776524468413,1704128776656052302,45,131583889,169,1
2568,1920,1080,1704128779111040374,1704128779245157087,45,134116713,170,1
2569,1920,1080,1704128779306349577,1704128779439311885,45,132962308,171,1
2604,1920,1080,1704128785232393169,1704128785367265262,45,134872093,172,1
2608,1920,1080,1704128785982323021,1704128786111382084,45,129059063,173,1
2613,1920,1080,1704128786852053356,1704128786990602344,45,138548988,174,1
2618,1920,1080,1704128787692782211,1704128787825450832,45,132668621,175,1
2622,1920,1080,1704128788339180592,1704128788469674744,45,130494152,176,1
2626,1920,1080,1704128789108848672,1704128789242191335,45,133342663,177,1
2628,1920,1080,1704128789499243060,1704128789638405086,45,139162026,178,1
2636,1920,1080,1704128790845597163,1704128790983138088,45,137540925,179,1
2651,1920,1080,1704128793358304450,1704128793489980675,45,131676225,180,1
2661,1920,1080,1704128794929735603,1704128795060680115,45,130944512,181,1
2690,1920,1080,1704128799782130664,1704128799911472408,45,129341744,182,1
2692,1920,1080,1704128800108270698,1704128800251118286,45,142847588,183,1
2702,1920,1080,1704128801730662684,1704128801858716014,45,128053330,184,1
2748,1920,1080,1704128809053278599,1704128809184399453,50,131120854,185,1
2749,1920,1080,1704128809243141454,1704128809375530720,50,132389266,186,1
2766,1920,1080,1704128811786189897,1704128811918595830,50,132405933,187,1
2782,1920,1080,1704128814400729793,1704128814535493540,50,134763747,188,1
2784,1920,1080,1704128814774097769,1704128814900328650,50,126230881,189,1
2795,1920,1080,1704128816577303672,1704128816720480277,50,143176605,190,1
2806,1920,1080,1704128818435997368,1704128818566768864,50,130771496,191,1
2809,1920,1080,1704128819002035369,1704128819134196952,50,132161583,192,1
2820,1920,1080,1704128820717827137,1704128820847767915,50,129940778,193,1
2821,1920,1080,1704128820914041718,1704128821056420272,50,142378554,194,1
2823,1920,1080,1704128821254591642,1704128821394841729,50,140250087,195,1
2833,1920,1080,1704128822756790406,1704128822889510023,50,132719617,196,1
2858,1920,1080,1704128826505046017,1704128826662310166,50,157264149,197,1
2866,1920,1080,1704128827827808571,1704128827969313069,50,141504498,198,1
2881,1920,1080,1704128830365133920,1704128830506469740,50,141335820,199,1
2890,1920,1080,1704128831802133929,1704128831938368764,50,136234835,200,1
2898,1920,1080,1704128832996869817,1704128833129676438,50,132806621,201,1
2916,1920,1080,1704128836051256410,1704128836180651483,50,129395073,202,1
2936,1920,1080,1704128839530162142,1704128839662320054,50,132157912,203,1
2942,1920,1080,1704128840416610449,1704128840547366607,50,130756158,204,1
2950,1920,1080,1704128841710230492,1704128841836710716,50,126480224,205,1
2964,1920,1080,1704128844143056936,1704128844273182388,50,130125452,206,1
2968,1920,1080,1704128844775623399,1704128844905527170,50,129903771,207,1
2976,1920,1080,1704128846124878904,1704128846264172260,50,139293356,208,1
2982,1920,1080,1704128847174100690,1704128847304880182,50,130779492,209,1
2984,1920,1080,1704128847550280823,1704128847679812904,50,129532081,210,1
3006,1920,1080,1704128850972026934,1704128851105177572,50,133150638,211,1
